"Libellé";"Indice brut de la production industrielle (base 100 en 2015) - Industrie de l'habillement (NAF rév. 2, niveau division, poste 14)";"Codes"
"idBank";"010537353";""
"Dernière mise à jour";"05/04/2023 08:45";""
"Période";"";""
"1990-01";"3225.59";"A"
"1990-02";"3657.0";"A"
"1990-03";"3355.85";"A"
"1990-04";"2661.21";"A"
"1990-05";"2332.76";"A"
"1990-06";"2860.24";"A"
"1990-07";"3495.51";"A"
"1990-08";"1777.36";"A"
"1990-09";"3204.71";"A"
"1990-10";"3136.76";"A"
"1990-11";"2449.47";"A"
"1990-12";"2154.67";"A"
"1991-01";"3200.93";"A"
"1991-02";"3639.45";"A"
"1991-03";"3337.29";"A"
"1991-04";"2546.94";"A"
"1991-05";"2109.45";"A"
"1991-06";"2634.52";"A"
"1991-07";"3456.02";"A"
"1991-08";"1744.24";"A"
"1991-09";"3284.17";"A"
"1991-10";"3164.26";"A"
"1991-11";"2450.35";"A"
"1991-12";"2190.41";"A"
"1992-01";"2792.07";"A"
"1992-02";"3107.99";"A"
"1992-03";"2959.19";"A"
"1992-04";"2336.55";"A"
"1992-05";"2019.18";"A"
"1992-06";"2480.0";"A"
"1992-07";"3010.6";"A"
"1992-08";"1571.37";"A"
"1992-09";"2851.09";"A"
"1992-10";"2791.49";"A"
"1992-11";"2189.42";"A"
"1992-12";"1921.3";"A"
"1993-01";"2637.92";"A"
"1993-02";"3001.81";"A"
"1993-03";"2768.61";"A"
"1993-04";"2134.97";"A"
"1993-05";"1806.24";"A"
"1993-06";"2261.73";"A"
"1993-07";"2924.5";"A"
"1993-08";"1474.8";"A"
"1993-09";"2748.01";"A"
"1993-10";"2598.61";"A"
"1993-11";"2033.96";"A"
"1993-12";"1800.23";"A"
"1994-01";"2462.47";"A"
"1994-02";"2786.36";"A"
"1994-03";"2682.04";"A"
"1994-04";"2107.91";"A"
"1994-05";"1930.06";"A"
"1994-06";"2386.37";"A"
"1994-07";"2614.19";"A"
"1994-08";"1347.87";"A"
"1994-09";"2539.84";"A"
"1994-10";"2562.24";"A"
"1994-11";"2083.54";"A"
"1994-12";"1797.76";"A"
"1995-01";"2377.07";"A"
"1995-02";"2725.15";"A"
"1995-03";"2565.71";"A"
"1995-04";"1980.28";"A"
"1995-05";"1736.37";"A"
"1995-06";"2220.83";"A"
"1995-07";"2610.84";"A"
"1995-08";"1296.26";"A"
"1995-09";"2506.51";"A"
"1995-10";"2512.26";"A"
"1995-11";"1995.17";"A"
"1995-12";"1753.16";"A"
"1996-01";"2039.97";"A"
"1996-02";"2243.86";"A"
"1996-03";"2227.5";"A"
"1996-04";"1693.93";"A"
"1996-05";"1471.99";"A"
"1996-06";"1895.0";"A"
"1996-07";"2153.17";"A"
"1996-08";"1114.17";"A"
"1996-09";"2049.18";"A"
"1996-10";"2099.48";"A"
"1996-11";"1658.04";"A"
"1996-12";"1428.2";"A"
"1997-01";"1774.97";"A"
"1997-02";"2034.66";"A"
"1997-03";"1924.42";"A"
"1997-04";"1600.27";"A"
"1997-05";"1384.31";"A"
"1997-06";"1743.25";"A"
"1997-07";"2007.03";"A"
"1997-08";"988.41";"A"
"1997-09";"1888.0";"A"
"1997-10";"1964.34";"A"
"1997-11";"1501.58";"A"
"1997-12";"1323.09";"A"
"1998-01";"1722.38";"A"
"1998-02";"1969.23";"A"
"1998-03";"1897.48";"A"
"1998-04";"1495.2";"A"
